variable_transformada
continuous__hhinc
continuous__c306
continuous__region1
continuous__g026
continuous__oopm2
continuous__a002_age
continuous__iadl
continuous__g029
continuous__bmi
continuous__g007
continuous__c334
continuous__pinc
continuous__c107
continuous__c330
continuous__year2
continuous__ba068
continuous__g028
continuous__c340
continuous__c105
continuous__missingindicator_hhinc
continuous__missingindicator_c306
continuous__missingindicator_oopm2
continuous__missingindicator_g029
continuous__missingindicator_bmi
continuous__missingindicator_g007
continuous__missingindicator_pinc
continuous__missingindicator_c107
continuous__missingindicator_c330
continuous__missingindicator_year2
continuous__missingindicator_ba068
continuous__missingindicator_g028
continuous__missingindicator_c340
continuous__missingindicator_c105
categorical__ba003_0.0
categorical__ba003_1.0
categorical__ba003_2.0
categorical__ba003_3.0
categorical__ba003_4.0
categorical__ba003_5.0
categorical__ba003_6.0
categorical__ba003_7.0
categorical__ba003_8.0
categorical__ba003_infrequent_sklearn
categorical__c318_0.0
categorical__c318_1.0
categorical__c318_2.0
categorical__c318_3.0
categorical__c318_5.0
categorical__c318_7.0
categorical__c318_infrequent_sklearn
categorical__c152_1.0
categorical__c152_2.0
categorical__c152_3.0
categorical__c152_4.0
categorical__c152_5.0
categorical__c001_1.0
categorical__c001_2.0
categorical__c001_3.0
categorical__c001_4.0
categorical__c001_5.0
categorical__adl_0.0
categorical__adl_1.0
categorical__adl_2.0
categorical__adl_3.0
categorical__adl_4.0
categorical__adl_7.0
categorical__adl_infrequent_sklearn
categorical__smoke_0.0
categorical__smoke_1.0
categorical__smoke_2.0
categorical__a035_02_1.0
categorical__a035_02_2.0
categorical__a035_02_3.0
categorical__a035_02_4.0
categorical__a035_02_5.0
categorical__a035_02_6.0
categorical__a035_02_7.0
categorical__a035_02_8.0
categorical__a035_02_10.0
categorical__a035_02_infrequent_sklearn
categorical__c210_1.0
categorical__c210_3.0
categorical__c210_5.0
categorical__a032_1.0
categorical__a032_2.0
categorical__a032_3.0
categorical__a032_4.0
categorical__a032_5.0
categorical__a032_6.0
categorical__a032_7.0
categorical__a032_8.0
categorical__a032_9.0
categorical__a032_10.0
categorical__f001type_1.0
categorical__f001type_2.0
categorical__f001type_3.0
categorical__f001type_4.0
categorical__f001type_5.0
categorical__present_ecotype_1.0
categorical__present_ecotype_2.0
categorical__present_ecotype_3.0
categorical__gender1_1.0
categorical__gender1_5.0
categorical__alc_1.0
categorical__alc_2.0
categorical__alc_3.0
