variable,tipo,mutual_information,correlacion_objetivo,correlacion_absoluta,mi_normalizada,correlacion_normalizada,selection_score,porcentaje_nulos_train
contact2,categórica,0.0008086623261550881,,,0.17464174847995934,0.0,0.17464174847995934,43.521341463414636
mniw_m,categórica,0.0008086545824477036,,,0.17464007611987328,0.0,0.17464007611987328,0.0
c144,categórica,0.0007916891571177883,,,0.17097615924444517,0.0,0.17097615924444517,0.6097560975609756
c142,categórica,0.0007771269648346223,,,0.16783125359003517,0.0,0.16783125359003517,0.6097560975609756
c208,categórica,0.000747833092275508,,,0.16150483901870558,0.0,0.16150483901870558,0.0
c145,categórica,0.0007154234602630705,,,0.1545055333515851,0.0,0.1545055333515851,0.6097560975609756
a002y,continua,0.0,0.0262517039146088,0.0262517039146088,0.0,0.5125568984761115,0.15376706954283345,0.0
c081,categórica,0.0007034384932954052,,,0.15191721494103233,0.0,0.15191721494103233,0.3048780487804878
c204,categórica,0.0007005292025187067,,,0.151288913594913,0.0,0.151288913594913,0.0
gender1,categórica,0.0006851780408110783,,,0.14797361914492194,0.0,0.14797361914492194,0.0
c212,categórica,0.0006763779109673243,,,0.14607311010294496,0.0,0.14607311010294496,0.0
mgrip,continua,0.0,0.023832922866360646,0.023832922866360646,0.0,0.4653309006431497,0.1395992701929449,5.506859756097561
c201,categórica,0.000626146517163092,,,0.135224949926785,0.0,0.135224949926785,0.0
marital,categórica,0.0006209451721908984,,,0.1341016479612905,0.0,0.1341016479612905,0.0
a030,categórica,0.0006160735864251684,,,0.13304956203063717,0.0,0.13304956203063717,0.0
g027,continua,0.0,-0.022504584454015007,0.022504584454015007,0.0,0.4393954787378433,0.13181864362135298,0.0
edu_s,categórica,0.0005956781253076294,,,0.1286448817637109,0.0,0.1286448817637109,5.278201219512195
job_search,categórica,0.000562973324073587,,,0.1215818302445935,0.0,0.1215818302445935,43.00685975609756
c143,categórica,0.0005618872043621128,,,0.12134726775870118,0.0,0.12134726775870118,0.6097560975609756
panel_n,categórica,0.0005534783184086836,,,0.11953125321446259,0.0,0.11953125321446259,0.0
c206,categórica,0.000539868713806028,,,0.11659207196778627,0.0,0.11659207196778627,0.0
c109,categórica,0.000538713100424114,,,0.11634250136822111,0.0,0.11634250136822111,39.329268292682926
c005,categórica,0.0005338761026563426,,,0.11529788519131359,0.0,0.11529788519131359,0.0
hhsize,categórica,0.0005168133195601896,,,0.11161294256759235,0.0,0.11161294256759235,0.0
c211,categórica,0.0005081888757259324,,,0.1097503753350575,0.0,0.1097503753350575,0.0
chronic_g,categórica,0.0004972821677219109,,,0.10739492177381743,0.0,0.10739492177381743,0.0
c205,categórica,0.0004915844132558935,,,0.10616441335247674,0.0,0.10616441335247674,0.0
c346,categórica,0.0004874652157700046,,,0.10527481601623095,0.0,0.10527481601623095,0.0
chronic_sum,categórica,0.00048739872962451575,,,0.10526045741892487,0.0,0.10526045741892487,0.0
c003,categórica,0.00046851790329426393,,,0.10118288336061608,0.0,0.10118288336061608,0.0
ecoact_s,categórica,0.0004639033544514915,,,0.10018630808774576,0.0,0.10018630808774576,5.621189024390244
c106,categórica,0.00045957833677947625,,,0.09925226105226831,0.0,0.09925226105226831,0.0
c102,categórica,0.0004460092494752571,,,0.0963218300733042,0.0,0.0963218300733042,37.271341463414636
g030,continua,0.0,-0.01525435555944086,0.01525435555944086,0.0,0.29783686419866245,0.08935105925959873,0.0
c151,categórica,0.00039253921058814666,,,0.08477423995996745,0.0,0.08477423995996745,0.6097560975609756
c146,categórica,0.0003789334593648462,,,0.08183589090354704,0.0,0.08183589090354704,0.6097560975609756
c209,categórica,0.0003736200167000145,,,0.08068837989997858,0.0,0.08068837989997858,0.0
c213,categórica,0.00037241232642674406,,,0.08042756257966517,0.0,0.08042756257966517,0.0
c148,categórica,0.0003388082014682027,,,0.07317028973649677,0.0,0.07317028973649677,0.6097560975609756
chronic_b,categórica,0.00033018968932891843,,,0.07130900353505241,0.0,0.07130900353505241,0.0
c343,categórica,0.0003147123814655692,,,0.06796646608821759,0.0,0.06796646608821759,0.0
alc,categórica,0.0002956913657814215,,,0.06385861621132446,0.0,0.06385861621132446,0.0
c310,categórica,0.00028235295452577053,,,0.060978002896855676,0.0,0.060978002896855676,0.05716463414634146
c333,continua,0.0,-0.010314736277828132,0.010314736277828132,0.0,0.20139223161893577,0.060417669485680725,0.0
c150,categórica,0.0002510816985308263,,,0.054224545183439096,0.0,0.054224545183439096,0.6097560975609756
c202,categórica,0.0002271132304297093,,,0.04904822492938733,0.0,0.04904822492938733,0.0
region3,categórica,0.00022119225451242008,,,0.04776950876633857,0.0,0.04776950876633857,0.0
c214,categórica,0.0001963621307322955,,,0.042407102120597125,0.0,0.042407102120597125,0.0
fam1,categórica,0.00018283108989645145,,,0.03948488779961943,0.0,0.03948488779961943,0.0
c207,categórica,0.00017260050617085802,,,0.03727545257304799,0.0,0.03727545257304799,0.0
passets,continua,0.0,-0.006340457757951023,0.006340457757951023,0.0,0.12379559718886175,0.03713867915665853,34.81326219512195
mniw_d,continua,0.0,0.00592667789348448,0.00592667789348448,0.0,0.1157166654489371,0.03471499963468113,0.0
c302,categórica,0.00015818961719396563,,,0.03416322294805568,0.0,0.03416322294805568,5.8117378048780495
pnetassets,continua,0.0,-0.005574593550997144,0.005574593550997144,0.0,0.10884232086641711,0.03265269625992513,33.17454268292683
c147,categórica,0.00014039625040231682,,,0.030320500729730367,0.0,0.030320500729730367,0.6097560975609756
livewith,categórica,0.00013402663169825228,,,0.028944893988017084,0.0,0.028944893988017084,44.416920731707314
c216,categórica,0.00013160222060119723,,,0.028421309075836187,0.0,0.028421309075836187,0.0
labor_st,categórica,0.0001255238874221477,,,0.027108609448440197,0.0,0.027108609448440197,47.12271341463415
present_labor,categórica,0.00010438220259990916,,,0.02254277191187138,0.0,0.02254277191187138,0.0
ba_resp,categórica,0.00010207742224416921,,,0.02204502290320606,0.0,0.02204502290320606,0.0
chronic_c,categórica,0.00010118305731806167,,,0.0218518724998514,0.0,0.0218518724998514,0.0
c217,categórica,9.753751587891551e-05,,,0.021064567699693653,0.0,0.021064567699693653,0.0
retired,categórica,9.700204918996341e-05,,,0.020948926305521132,0.0,0.020948926305521132,47.12271341463415
c203,categórica,9.672956534910741e-05,,,0.02089007967342206,0.0,0.02089007967342206,0.0
edu,categórica,9.192777869814969e-05,,,0.01985306782134506,0.0,0.01985306782134506,0.05716463414634146
c082,categórica,9.022406329966051e-05,,,0.019485127054870776,0.0,0.019485127054870776,0.0
c313,categórica,6.866042508815728e-05,,,0.014828162882010387,0.0,0.014828162882010387,0.0
c337,continua,0.0,0.002392650876404052,0.002392650876404052,0.0,0.04671581381288355,0.014014744143865063,0.09527439024390244
c301,categórica,6.392534911179616e-05,,,0.013805558117387578,0.0,0.013805558117387578,0.09527439024390244
s_sum,continua,0.0,-0.001863069654799784,0.001863069654799784,0.0,0.03637589419015689,0.010912768257047066,0.24771341463414634
chronic_d,categórica,4.355236166737192e-05,,,0.00940573134918452,0.0,0.00940573134918452,0.0
c108,categórica,4.256892409333635e-05,,,0.009193344482756513,0.0,0.009193344482756513,0.0
a002m,continua,0.0,0.0014376609122267083,0.0014376609122267083,0.0,0.02806991198088255,0.008420973594264764,0.0
c215,categórica,3.8424345070234766e-05,,,0.00829826565455226,0.0,0.00829826565455226,0.0
c068,categórica,3.437162408541708e-05,,,0.00742302483276796,0.0,0.00742302483276796,42.454268292682926
chronic_h,categórica,3.384966597481248e-05,,,0.0073103008018331975,0.0,0.0073103008018331975,0.0
region2,categórica,2.7758487435632778e-05,,,0.005994827042292762,0.0,0.005994827042292762,0.0
bp1,categórica,2.4081873965462082e-05,,,0.0052008118097933076,0.0,0.0052008118097933076,0.0
ba075,categórica,2.2557092752012106e-05,,,0.004871514340932087,0.0,0.004871514340932087,43.0640243902439
bb_adl3,categórica,1.9241696869519908e-05,,,0.004155509013251406,0.0,0.004155509013251406,0.0
c550,categórica,1.6236451432212994e-05,,,0.003506484938792367,0.0,0.003506484938792367,0.0
chronic_i,categórica,1.5234454022076266e-05,,,0.003290089820559656,0.0,0.003290089820559656,0.0
c149,categórica,1.3381138108871371e-05,,,0.0028898407659180758,0.0,0.0028898407659180758,0.6097560975609756
ea_resp,categórica,1.1535188029883348e-05,,,0.0024911824644562115,0.0,0.0024911824644562115,0.0
c085,categórica,1.1425227211283445e-05,,,0.0024674349137128976,0.0,0.0024674349137128976,0.0
residence_,categórica,1.1215449029197688e-05,,,0.002422130430831154,0.0,0.002422130430831154,20.579268292682926
enu_type,categórica,1.0090706386564618e-05,,,0.002179226791887873,0.0,0.002179226791887873,0.0
chronic_f,categórica,4.1570717736411425e-06,,,0.000897776809459206,0.0,0.000897776809459206,0.0
bb_adl1,categórica,3.665989514014048e-06,,,0.0007917208430875056,0.0,0.0007917208430875056,0.0
c056,categórica,3.451728527090886e-06,,,0.0007454482368623376,0.0,0.0007454482368623376,0.0
c303,categórica,2.505594400757649e-06,,,0.0005411175628898914,0.0,0.0005411175628898914,42.60670731707317
chronic_a,categórica,1.6608273244039795e-06,,,0.00035867849716245695,0.0,0.00035867849716245695,0.0
bb_adl2,categórica,1.3804492215215708e-06,,,0.0002981269906322925,0.0,0.0002981269906322925,0.0
a003,categórica,4.70589507951813e-08,,,1.0163027487107975e-05,0.0,1.0163027487107975e-05,0.0
