variable_eliminada,variable_conservada,correlacion_absoluta,score_eliminada,score_conservada
a002y,a002_age,1.0,0.15376706954283345,0.5074858216552829
pnetassets,passets,0.9690843786187248,0.03265269625992513,0.03713867915665853
