threshold,precision,recall,specificity,f1,f2,balanced_accuracy,mcc,tp,fp,tn,fn
0.07032914459705353,0.020007621951219513,1.0,0.0,0.03923033812815244,0.09262526464361327,0.5,0.0,105,5143,0,0
0.07038769870996475,0.020011435105774727,1.0,0.00019443904335990667,0.03923766816143498,0.092641609317099,0.50009721952168,0.001972562875607693,105,5142,1,0
0.07061244547367096,0.020015249714067863,1.0,0.00038887808671981335,0.039245000934404785,0.09265795975997176,0.5001944390433599,0.002789891039812487,105,5141,2,0
0.07162308692932129,0.02001906577693041,1.0,0.00058331713007972,0.03925233644859813,0.09267431597528684,0.5002916585650399,0.0034172304569455346,105,5140,3,0
0.07230021059513092,0.02002288329519451,1.0,0.0007777561734396267,0.03925967470555244,0.0926906779661017,0.5003888780867198,0.00394625405833161,105,5139,4,0
0.07267755270004272,0.020026702269692925,1.0,0.0009721952167995333,0.03926701570680628,0.09270704573547589,0.5004860976083998,0.004412466901276861,105,5138,5,0
0.07667502760887146,0.02003052270125906,1.0,0.00116663426015944,0.039274359453899385,0.09272341928647121,0.5005833171300798,0.004834076337025537,105,5137,6,0
0.07703847438097,0.02003434459072696,1.0,0.0013610733035193468,0.03928170594837262,0.09273979862215156,0.5006805366517597,0.005221897315722103,105,5136,7,0
0.07725562155246735,0.020038167938931296,1.0,0.0015555123468792534,0.03928905519176801,0.09275618374558305,0.5007777561734397,0.0055829756974079365,105,5135,8,0
0.07890885323286057,0.02004199274670739,1.0,0.00174995139023916,0.03929640718562874,0.09277257465983389,0.5008749756951196,0.005922205085123593,105,5134,9,0
0.07911284267902374,0.02004581901489118,1.0,0.0019443904335990666,0.039303761931499155,0.09278897136797455,0.5009721952167996,0.006243148142260655,105,5133,10,0
0.07975952327251434,0.020049646744319267,1.0,0.0021388294769589733,0.039311119430924746,0.0928053738730776,0.5010694147384794,0.0065484941367740844,105,5132,11,0
0.0827663317322731,0.020053475935828877,1.0,0.00233326852031888,0.039318479685452164,0.09282178217821782,0.5011666342601594,0.006840332164744759,105,5131,12,0
0.08366277068853378,0.02005730659025788,1.0,0.0025277075636787865,0.03932584269662921,0.09283819628647215,0.5012638537818394,0.007120323417880625,105,5130,13,0
