,precision,recall,f1-score,support
0,0.9845594913714805,0.8429237947122862,0.9082530372852954,1286.0
1,0.04265402843601896,0.34615384615384615,0.0759493670886076,26.0
accuracy,0.833079268292683,0.833079268292683,0.833079268292683,0.833079268292683
macro avg,0.5136067599037497,0.5945388204330662,0.49210120218695147,1312.0
weighted avg,0.9658936818925766,0.833079268292683,0.8917592145527391,1312.0
