estrategia,threshold,precision,recall,specificity,f1,f2,balanced_accuracy,mcc
Max MCC,0.22664964199066162,0.028284098051539912,0.8571428571428571,0.39879447793116857,0.05476118040766657,0.1249305941143809,0.6279686675370129,0.07335357910787892
Max F1,0.3993399143218994,0.04219948849104859,0.3142857142857143,0.8543651565234299,0.07440811724915446,0.13727121464226288,0.5843254354045722,0.06631759432350688
Max F2,0.3925950825214386,0.04122497055359246,0.3333333333333333,0.841726618705036,0.07337526205450734,0.13790386130811663,0.5875299760191847,0.06656698556930933
Max Precision | Recall >= 0.40,0.3540095090866089,0.03542673107890499,0.41904761904761906,0.7670620260548318,0.06533036377134373,0.13237063778580024,0.5930548225512254,0.06131341731001139
Max Precision | Recall >= 0.50,0.30763480067253113,0.032188841201716736,0.5714285714285714,0.6492319657787283,0.06094464195022854,0.13134851138353765,0.6103302686036498,0.0645638547276949
