modelo,pr_auc_mean,pr_auc_std,roc_auc_mean,roc_auc_std,precision_mean,recall_mean,f1_mean,balanced_accuracy_mean,mcc_mean
XGBoost_Optimized,0.04658125769582767,0.028194272980500097,0.6607925349834122,0.05040898738859286,0.02806105436540219,0.04126984126984127,0.03291742181795433,0.5054368514127904,0.009401977183874284
CatBoost_Optimized,0.046485218850471154,0.018321397116911296,0.6598820872481977,0.05760211731345647,0.0,0.0,0.0,0.5,0.0
