,tipo,no_nulos,nulos,porcentaje_nulos,valores_unicos
c312,float64,2419,4141,63.125,57
addic,float64,2573,3987,60.77743902439025,3
c132,float64,2573,3987,60.77743902439025,5
d_com084,float64,2573,3987,60.77743902439025,5
d_com085,float64,2573,3987,60.77743902439025,5
c128,float64,2573,3987,60.77743902439025,7
c130,float64,2573,3987,60.77743902439025,7
c134,float64,2573,3987,60.77743902439025,7
c126,float64,2573,3987,60.77743902439025,9
c111,float64,2595,3965,60.4420731707317,14
c112,float64,2595,3965,60.4420731707317,29
livewithnm,float64,2627,3933,59.95426829268292,4
chronic_j,float64,2754,3806,58.018292682926834,3
d_com097,float64,2825,3735,56.9359756097561,2
d_com073,float64,2832,3728,56.82926829268292,5
d_com074,float64,2832,3728,56.82926829268292,5
d_com075,float64,2832,3728,56.82926829268292,5
d_com076,float64,2832,3728,56.82926829268292,5
d_com077,float64,2832,3728,56.82926829268292,5
d_com078,float64,2832,3728,56.82926829268292,5
d_com079,float64,2832,3728,56.82926829268292,5
d_com080,float64,2832,3728,56.82926829268292,5
d_com089,float64,2832,3728,56.82926829268292,5
d_com090,float64,2832,3728,56.82926829268292,6
status,float64,2832,3728,56.82926829268292,6
d_com092,float64,2832,3728,56.82926829268292,7
d_com031,float64,2832,3728,56.82926829268292,9
job,float64,2832,3728,56.82926829268292,12
job_startm,float64,2832,3728,56.82926829268292,14
ind,float64,2832,3728,56.82926829268292,22
job_starty,float64,2832,3728,56.82926829268292,65
d_com032,float64,2832,3728,56.82926829268292,89
fromchildren,float64,2839,3721,56.72256097560976,208
emp,float64,2863,3697,56.35670731707317,4
earned,float64,2872,3688,56.21951219512196,266
c124m,float64,2914,3646,55.579268292682926,14
c124y,float64,2914,3646,55.579268292682926,68
d_com096,float64,2975,3585,54.64939024390244,42
transferfrom,float64,2991,3569,54.40548780487805,222
financialasset,float64,3323,3237,49.34451219512195,622
residence,float64,3429,3131,47.728658536585364,150
labor_st,float64,3451,3109,47.39329268292683,3
retired,float64,3451,3109,47.39329268292683,3
livewith,float64,3608,2952,45.0,5
realestate,float64,3639,2921,44.52743902439024,225
job_search,float64,3728,2832,43.170731707317074,2
contact2,float64,3732,2828,43.109756097560975,8
ba075,float64,3744,2816,42.926829268292686,2
c303,float64,3800,2760,42.073170731707314,3
c068,float64,3806,2754,41.981707317073166,3
a035_02,float64,3857,2703,41.204268292682926,10
c109,float64,3965,2595,39.55792682926829,5
c102,float64,4103,2457,37.45426829268293,2
g007,float64,4152,2408,36.70731707317073,11
passets,float64,5142,1418,21.615853658536587,1168
oopm2,float64,5158,1402,21.371951219512194,351
residence_,float64,5214,1346,20.518292682926827,2
pnetassets,float64,5273,1287,19.618902439024392,1300
pinc,float64,5283,1277,19.46646341463415,1292
g028,float64,5426,1134,17.286585365853657,11
c302,float64,6193,367,5.594512195121951,3
c305,float64,6193,367,5.594512195121951,5
c306,float64,6193,367,5.594512195121951,55
mgrip,float64,6195,365,5.564024390243903,308
g029,float64,6412,148,2.2560975609756095,11
bmi,float64,6435,125,1.9054878048780488,1004
c142,float64,6518,42,0.6402439024390244,4
c143,float64,6518,42,0.6402439024390244,4
c144,float64,6518,42,0.6402439024390244,4
c145,float64,6518,42,0.6402439024390244,4
c146,float64,6518,42,0.6402439024390244,4
c147,float64,6518,42,0.6402439024390244,4
c148,float64,6518,42,0.6402439024390244,4
c149,float64,6518,42,0.6402439024390244,4
c150,float64,6518,42,0.6402439024390244,4
c151,float64,6518,42,0.6402439024390244,4
c081,float64,6540,20,0.3048780487804878,2
edu,float64,6557,3,0.04573170731707318,4
mniw_y,int64,6560,0,0.0,1
a003,int64,6560,0,0.0,2
ba_resp,int64,6560,0,0.0,2
bb_adl1,int64,6560,0,0.0,2
bb_adl2,int64,6560,0,0.0,2
bb_adl3,int64,6560,0,0.0,2
c003,int64,6560,0,0.0,2
c056,int64,6560,0,0.0,2
c082,int64,6560,0,0.0,2
c085,int64,6560,0,0.0,2
c108,int64,6560,0,0.0,2
c313,int64,6560,0,0.0,2
c343,int64,6560,0,0.0,2
c346,int64,6560,0,0.0,2
c550,int64,6560,0,0.0,2
chronic_a,int64,6560,0,0.0,2
chronic_b,int64,6560,0,0.0,2
chronic_c,int64,6560,0,0.0,2
chronic_d,int64,6560,0,0.0,2
chronic_f,int64,6560,0,0.0,2
chronic_h,int64,6560,0,0.0,2
chronic_i,int64,6560,0,0.0,2
ea_resp,int64,6560,0,0.0,2
enu_type,int64,6560,0,0.0,2
