,tipo,nulos_totales,porcentaje_nulos,valores_unicos_observados
chronic_j,float64,3813,58.12500000000001,2
ind,float64,3806,58.018292682926834,20
job_starty,float64,3804,57.98780487804878,64
earned,float64,3782,57.65243902439025,264
fromchildren,float64,3743,57.05792682926829,207
d_com031,float64,3738,56.98170731707317,7
d_com076,float64,3735,56.9359756097561,4
d_com074,float64,3735,56.9359756097561,4
status,float64,3735,56.9359756097561,5
d_com090,float64,3735,56.9359756097561,5
d_com089,float64,3735,56.9359756097561,4
d_com075,float64,3735,56.9359756097561,4
d_com078,float64,3735,56.9359756097561,4
d_com079,float64,3735,56.9359756097561,4
d_com097,float64,3735,56.9359756097561,2
d_com080,float64,3735,56.9359756097561,4
d_com092,float64,3735,56.9359756097561,6
d_com077,float64,3735,56.9359756097561,4
d_com073,float64,3735,56.9359756097561,4
d_com032,float64,3734,56.920731707317074,87
financialasset,float64,3706,56.49390243902439,621
emp,float64,3697,56.35670731707317,4
d_com096,float64,3605,54.954268292682926,41
transferfrom,float64,3595,54.80182926829268,221
residence,float64,3451,52.60670731707317,149
realestate,float64,3311,50.47256097560976,223
retired,float64,3109,47.39329268292683,3
labor_st,float64,3109,47.39329268292683,3
livewith,float64,2952,45.0,5
job_search,float64,2832,43.170731707317074,2
contact2,float64,2828,43.109756097560975,8
ba075,float64,2816,42.926829268292686,2
c068,float64,2762,42.103658536585364,2
c303,float64,2761,42.088414634146346,2
a035_02,float64,2703,41.204268292682926,10
c109,float64,2595,39.55792682926829,5
c102,float64,2457,37.45426829268293,2
g007,float64,2408,36.70731707317073,11
c306,float64,2356,35.91463414634146,53
passets,float64,2243,34.19207317073171,1167
pnetassets,float64,2135,32.545731707317074,1298
pinc,float64,1552,23.65853658536585,1290
oopm2,float64,1489,22.698170731707318,350
residence_,float64,1346,20.518292682926827,2
g028,float64,1134,17.286585365853657,11
hhinc,float64,431,6.570121951219512,261
ecoact_s,float64,375,5.716463414634147,5
c302,float64,368,5.609756097560976,2
c305,float64,367,5.594512195121951,5
mgrip,float64,365,5.564024390243903,308
edu_s,float64,356,5.426829268292683,5
g029,float64,148,2.2560975609756095,11
bmi,float64,125,1.9054878048780488,1004
c107,float64,115,1.753048780487805,45
c149,float64,42,0.6402439024390244,4
c146,float64,42,0.6402439024390244,4
c150,float64,42,0.6402439024390244,4
c143,float64,42,0.6402439024390244,4
c144,float64,42,0.6402439024390244,4
c145,float64,42,0.6402439024390244,4
c147,float64,42,0.6402439024390244,4
c148,float64,42,0.6402439024390244,4
c142,float64,42,0.6402439024390244,4
c105,float64,42,0.6402439024390244,68
c151,float64,42,0.6402439024390244,4
year2,float64,39,0.5945121951219512,61
c081,float64,20,0.3048780487804878,2
s_sum,float64,16,0.24390243902439024,12
c301,float64,8,0.12195121951219512,2
ba068,float64,8,0.12195121951219512,22
c337,float64,6,0.09146341463414635,61
c310,float64,5,0.07621951219512195,2
edu,float64,3,0.04573170731707318,4
f001type,float64,3,0.04573170731707318,5
c330,float64,2,0.03048780487804878,35
c340,float64,1,0.01524390243902439,17
a002y,int64,0,0.0,48
a003,int64,0,0.0,2
a030,int64,0,0.0,6
a002m,int64,0,0.0,12
c550,int64,0,0.0,2
c346,int64,0,0.0,2
c343,int64,0,0.0,2
c333,int64,0,0.0,29
c334,int64,0,0.0,43
chronic_sum,int64,0,0.0,7
a032,int64,0,0.0,10
alc,int64,0,0.0,3
adl,int64,0,0.0,8
smoke,int64,0,0.0,3
a002_age,int64,0,0.0,48
chronic_f,int64,0,0.0,2
chronic_d,int64,0,0.0,2
chronic_c,int64,0,0.0,2
chronic_b,int64,0,0.0,2
chronic_a,int64,0,0.0,2
fam1,int64,0,0.0,5
enu_type,int64,0,0.0,2
