,nulos,porcentaje_nulos,tipo,valores_unicos
d_com078,3728,56.82926829268292,float64,5
job,3728,56.82926829268292,float64,12
ind,3728,56.82926829268292,float64,22
job_startm,3728,56.82926829268292,float64,14
d_com073,3728,56.82926829268292,float64,5
d_com074,3728,56.82926829268292,float64,5
job_starty,3728,56.82926829268292,float64,65
status,3728,56.82926829268292,float64,6
d_com075,3728,56.82926829268292,float64,5
d_com079,3728,56.82926829268292,float64,5
d_com092,3728,56.82926829268292,float64,7
d_com090,3728,56.82926829268292,float64,6
d_com089,3728,56.82926829268292,float64,5
d_com076,3728,56.82926829268292,float64,5
d_com031,3728,56.82926829268292,float64,9
d_com032,3728,56.82926829268292,float64,89
fromchildren,3721,56.72256097560976,float64,208
emp,3697,56.35670731707317,float64,4
earned,3688,56.21951219512196,float64,266
c124m,3646,55.579268292682926,float64,14
c124y,3646,55.579268292682926,float64,68
d_com096,3585,54.64939024390244,float64,42
transferfrom,3569,54.40548780487805,float64,222
financialasset,3237,49.34451219512195,float64,622
residence,3131,47.728658536585364,float64,150
retired,3109,47.39329268292683,float64,3
labor_st,3109,47.39329268292683,float64,3
livewith,2952,45.0,float64,5
realestate,2921,44.52743902439024,float64,225
job_search,2832,43.170731707317074,float64,2
contact2,2828,43.109756097560975,float64,8
ba075,2816,42.926829268292686,float64,2
c303,2760,42.073170731707314,float64,3
c068,2754,41.981707317073166,float64,3
a035_02,2703,41.204268292682926,float64,10
c109,2595,39.55792682926829,float64,5
c102,2457,37.45426829268293,float64,2
g007,2408,36.70731707317073,float64,11
passets,1418,21.615853658536587,float64,1168
oopm2,1402,21.371951219512194,float64,351
residence_,1346,20.518292682926827,float64,2
pnetassets,1287,19.618902439024392,float64,1300
pinc,1277,19.46646341463415,float64,1292
g028,1134,17.286585365853657,float64,11
c305,367,5.594512195121951,float64,5
c302,367,5.594512195121951,float64,3
c306,367,5.594512195121951,float64,55
mgrip,365,5.564024390243903,float64,308
g029,148,2.2560975609756095,float64,11
bmi,125,1.9054878048780488,float64,1004
c150,42,0.6402439024390244,float64,4
c144,42,0.6402439024390244,float64,4
c146,42,0.6402439024390244,float64,4
c147,42,0.6402439024390244,float64,4
c148,42,0.6402439024390244,float64,4
c151,42,0.6402439024390244,float64,4
c143,42,0.6402439024390244,float64,4
c145,42,0.6402439024390244,float64,4
c142,42,0.6402439024390244,float64,4
c149,42,0.6402439024390244,float64,4
c081,20,0.3048780487804878,float64,2
edu,3,0.04573170731707318,float64,4
